,pre_type,id,name,ds,numbox,weight,bulk
0,forward,50,,2014-12,204877,1911518.17,7975.213486
1,forward,50,,2015-01,334144,3146794.48,13407.375304
2,forward,50,,2015-02,192404,1880558.34,8638.799811
3,forward,50,,2015-03,285759,2665977.57,12554.205517
4,forward,50,,2015-04,462487,3645319.66,17368.829186
5,forward,50,,2015-05,627196,5682618.461,25847.162477
6,forward,50,,2015-06,405835,3718474.07,16168.689429
7,forward,50,,2015-07,297060,2789476.88,11743.75068
8,forward,50,,2015-08,427951,4029896.11,17110.776465
9,forward,50,,2015-09,536284,4963424.88,21824.568602
10,forward,50,,2015-10,777104,7005197.28,30474.550021
11,forward,50,,2015-11,507941,4736832.865,23383.645749
12,forward,50,,2015-12,743897,6754318.316,28966.463489
13,forward,50,,2016-01,1022927,9453340.523,39833.658665
14,forward,50,,2016-02,285230,2500945.77,10272.654074
15,forward,50,,2016-03,645085,5855622.983,23921.46299
16,forward,50,,2016-04,624758,6015762.269,25317.127302
17,forward,50,,2016-05,1020629,9205839.229,35393.950338
18,forward,50,,2016-06,598457,5570159.861,22571.328236
19,forward,50,,2016-07,474958,4514837.229,17755.316733
20,forward,50,,2016-08,660721,6223923.415,24334.011613
21,forward,50,,2016-09,834091,7911486.66,30199.901338
22,forward,50,,2016-10,1156174,10912432.66,42920.562993
23,forward,50,,2016-11,803698,8018646.147,32138.020459
24,forward,50,,2016-12,1198490,10595628.415,46116.143366
25,forward,50,,2017-01,227078,2035883.5,9357.942022
26,forward,50,,2017-02,654797,6573209.844,26420.575736
27,forward,50,,2017-03,1094246,9780442.911,41454.064506
28,forward,50,,2017-04,994043,8800300.487,37778.813688
29,forward,50,,2017-05,1642203,14656355.863,59500.098436
30,forward,50,,2017-06,936859,9105155.158,34819.315688
31,forward,50,,2017-07,849392,7769982.688,31456.482323
32,forward,50,,2017-08,1007122,9168740.689,39646.548946
33,forward,50,,2017-09,423053,4137672.04,17407.109065
34,forward,51,,2014-12,119129,1116979.5,6235.854034
35,forward,51,,2015-01,156838,1479344.28,7452.913219
36,forward,51,,2015-02,100309,964317.9,5193.651259
37,forward,51,,2015-03,182826,1605639.251,10540.991109
38,forward,51,,2015-04,233977,2038618.29,12528.236278
39,forward,51,,2015-05,408841,3377378.079,19218.817353
40,forward,51,,2015-06,206216,1825724.719,10443.829597
41,forward,51,,2015-07,189332,1592162.68,8308.342779
42,forward,51,,2015-08,213582,1844082.138,10356.886178
43,forward,51,,2015-09,299841,2550698.449,14360.686113
44,forward,51,,2015-10,516180,4335041.09,25080.223574
45,forward,51,,2015-11,327967,2942964.229,16797.82523
46,forward,51,,2015-12,400659,3484664.266,18004.425359
