,predict_month,tc_id,tc_name,carton_num,predict_type,weight,volume
0,2017-01-01,50,,588592,TC正向,5322693.63799,23323.8084969
1,2017-02-01,50,,973651,TC正向,9491856.20361,35629.3212422
2,2017-03-01,50,,915823,TC正向,7963459.18696,33025.0793767
3,2017-04-01,50,,987275,TC正向,8990291.9219,34237.2814411
4,2017-05-01,50,,1268597,TC正向,11245547.4911,51079.1729214
5,2017-06-01,50,,952718,TC正向,8181676.65272,36841.9404669
6,2017-07-01,50,,837622,TC正向,7764714.34862,29316.9291455
7,2017-08-01,50,,988111,TC正向,9771534.965,37629.2677916
8,2017-09-01,50,,1129635,TC正向,10622793.0155,47710.1098358
9,2017-10-01,50,,1408870,TC正向,12808456.0359,62280.313408
10,2017-11-01,50,,1090522,TC正向,9437607.62457,44494.6926952
11,2017-12-01,50,,1219991,TC正向,11212492.7952,45296.0160767
0,2017-01-01,51,,495758,TC正向,4088172.07662,24423.7184927
1,2017-02-01,51,,680866,TC正向,5848896.76721,32561.6566521
2,2017-03-01,51,,653430,TC正向,5769172.30814,32678.861955
3,2017-04-01,51,,636961,TC正向,5797422.84045,30456.3369071
4,2017-05-01,51,,925677,TC正向,7964127.07785,48099.340638
5,2017-06-01,51,,681630,TC正向,6126414.52196,32267.0268727
6,2017-07-01,51,,611767,TC正向,5438227.77532,29919.913659
7,2017-08-01,51,,703390,TC正向,5735795.56359,34510.7296152
8,2017-09-01,51,,793993,TC正向,7277456.00029,39752.0825372
9,2017-10-01,51,,1138343,TC正向,10391135.5953,57451.7768554
10,2017-11-01,51,,792025,TC正向,6859051.54328,40680.2622378
11,2017-12-01,51,,866570,TC正向,7129036.98648,44102.0728597
0,2017-01-01,52,,38536,TC正向,312159.356236,1880.57876968
1,2017-02-01,52,,51826,TC正向,559462.793247,2565.60729252
2,2017-03-01,52,,52904,TC正向,400255.953096,2503.24132141
3,2017-04-01,52,,49828,TC正向,468036.300282,2778.72559411
4,2017-05-01,52,,67898,TC正向,654265.887275,4537.62464386
5,2017-06-01,52,,57109,TC正向,586623.536571,3181.94007071
6,2017-07-01,52,,52208,TC正向,412280.844479,2407.2704887
7,2017-08-01,52,,63399,TC正向,568971.027687,3448.42044833
8,2017-09-01,52,,76526,TC正向,730009.739188,4381.97081166
9,2017-10-01,52,,91759,TC正向,844021.505548,3692.45579786
10,2017-11-01,52,,70230,TC正向,579259.036072,3381.29060448
11,2017-12-01,52,,75001,TC正向,637388.630337,4417.8937121
0,2017-01-01,53,,277739,TC正向,2740379.58463,16616.6779862
1,2017-02-01,53,,289347,TC正向,2941348.31103,18361.3232104
2,2017-03-01,53,,306771,TC正向,2655761.37679,19341.6790929
3,2017-04-01,53,,314075,TC正向,2623227.48961,21567.6369035
4,2017-05-01,53,,418276,TC正向,4075620.75804,28016.366435
5,2017-06-01,53,,315537,TC正向,3340253.39859,20327.3172071
6,2017-07-01,53,,271404,TC正向,2619107.87138,14419.3092485
7,2017-08-01,53,,316609,TC正向,3069753.18254,21029.4585046
8,2017-09-01,53,,361385,TC正向,3633848.71208,20223.4515554
9,2017-10-01,53,,450364,TC正向,3988907.80364,28455.6707273
10,2017-11-01,53,,348140,TC正向,3223326.21113,22328.1115755
11,2017-12-01,53,,389442,TC正向,3932778.18642,25699.0508482
0,2017-01-01,54,,67007,TC正向,553887.8256,4087.16547071
