,Unnamed: 0,pred_type,ID,ds,numbox,weight,bulk,weekday
0,1,zhongzhuang,50,2014-12-5,254,1525.5,7.7738,4
1,2,zhongzhuang,50,2014-12-9,106,685.3,3.6332,1
2,3,zhongzhuang,50,2014-12-10,1,4.6,0.023,2
3,4,zhongzhuang,50,2014-12-11,161,1094.88,2.7514,3
4,5,zhongzhuang,50,2014-12-12,60,433.84,1.7101,4
5,6,zhongzhuang,50,2014-12-13,161,1115.96,2.7203,5
6,7,zhongzhuang,50,2014-12-17,62,396.08,1.2736,2
7,8,zhongzhuang,50,2014-12-18,23,167.4,2.318,3
8,9,zhongzhuang,50,2014-12-20,59,332.37,3.1260000000000003,5
9,10,zhongzhuang,50,2014-12-21,26,171.27,0.6071,6
10,11,zhongzhuang,50,2014-12-22,140,494.84,4.607,0
11,12,zhongzhuang,50,2014-12-23,175,1326.7,6.8036,1
12,13,zhongzhuang,50,2014-12-24,8,41.68,0.3907,2
13,14,zhongzhuang,50,2014-12-26,164,1121.6,7.7346,4
14,15,zhongzhuang,50,2014-12-27,220,434.0,5.572,5
15,16,zhongzhuang,50,2014-12-30,138,956.74,5.3102,1
16,17,zhongzhuang,50,2014-12-31,28,178.16,0.9828,2
17,18,zhongzhuang,50,2015-1-1,251,1864.73,6.2239,3
18,19,zhongzhuang,50,2015-1-2,72,579.0,2.6974,4
19,20,zhongzhuang,50,2015-1-5,88,726.1,3.7407,0
20,21,zhongzhuang,50,2015-1-6,2,8.0,0.0936,1
21,22,zhongzhuang,50,2015-1-7,125,631.82,3.2358990000000003,2
22,23,zhongzhuang,50,2015-1-8,81,938.45,3.4475,3
23,24,zhongzhuang,50,2015-1-9,128,1097.68,6.2313,4
24,25,zhongzhuang,50,2015-1-10,7,39.0,0.11,5
25,26,zhongzhuang,50,2015-1-13,30,181.39,1.6373,1
26,27,zhongzhuang,50,2015-1-14,852,6787.51,25.124698000000002,2
27,28,zhongzhuang,50,2015-1-15,54,292.37,1.52,3
28,29,zhongzhuang,50,2015-1-16,183,1070.0,8.0112,4
29,30,zhongzhuang,50,2015-1-17,54,443.0,2.7767,5
30,31,zhongzhuang,50,2015-1-18,21,85.34,0.5639,6
31,32,zhongzhuang,50,2015-1-20,102,503.5,4.4795,1
32,33,zhongzhuang,50,2015-1-21,38,130.63,0.6447,2
33,34,zhongzhuang,50,2015-1-22,159,1178.2,4.707,3
34,35,zhongzhuang,50,2015-1-23,1,9.0,0.0197,4
35,36,zhongzhuang,50,2015-1-24,36,385.45,1.9683990000000002,5
36,37,zhongzhuang,50,2015-1-25,23,118.04,0.9904,6
37,38,zhongzhuang,50,2015-1-26,56,419.0,1.91,0
38,39,zhongzhuang,50,2015-1-27,252,1333.56,7.559597999999999,1
39,40,zhongzhuang,50,2015-1-28,79,409.35,2.7187,2
40,41,zhongzhuang,50,2015-1-29,23,192.41,0.389,3
41,42,zhongzhuang,50,2015-1-30,48,560.35,2.4235,4
42,43,zhongzhuang,50,2015-2-2,331,1302.61,9.951599,0
43,44,zhongzhuang,50,2015-2-3,42,184.3,2.5403,1
44,45,zhongzhuang,50,2015-2-4,130,1103.65,4.6701,2
45,46,zhongzhuang,50,2015-2-5,171,1231.02,7.0783,3
46,47,zhongzhuang,50,2015-2-6,188,1198.5,10.3331,4
47,48,zhongzhuang,50,2015-2-7,22,287.65,0.4128,5
48,49,zhongzhuang,50,2015-2-8,29,128.0,0.507,6
49,50,zhongzhuang,50,2015-2-9,52,258.84,1.2329999999999999,0
50,51,zhongzhuang,50,2015-2-10,51,2025.5,4.72,1
51,52,zhongzhuang,50,2015-2-11,52,574.0,1.7631,2
52,53,zhongzhuang,50,2015-2-12,10,79.92,0.617,3
53,54,zhongzhuang,50,2015-2-14,90,473.24,3.5274,5
54,55,zhongzhuang,50,2015-2-16,161,1901.1,10.942799,0
55,56,zhongzhuang,50,2015-2-27,83,225.27,2.763,4
56,57,zhongzhuang,50,2015-2-28,437,2777.95,19.495,5
57,58,zhongzhuang,50,2015-3-3,269,1904.04,7.3211,1
58,59,zhongzhuang,50,2015-3-4,1,2.0,0.0168,2
59,60,zhongzhuang,50,2015-3-5,176,1401.36,9.8672,3
60,61,zhongzhuang,50,2015-3-6,178,1114.65,5.3705989999999995,4
61,62,zhongzhuang,50,2015-3-7,121,894.46,6.747399000000001,5
62,63,zhongzhuang,50,2015-3-8,27,380.94,0.6775,6
63,64,zhongzhuang,50,2015-3-9,155,1448.98,4.5656,0
64,65,zhongzhuang,50,2015-3-10,249,1682.91,9.3217,1
65,66,zhongzhuang,50,2015-3-11,16,73.0,0.4404,2
66,67,zhongzhuang,50,2015-3-12,220,1729.5,8.4966,3
67,68,zhongzhuang,50,2015-3-13,111,812.5,4.1954,4
68,69,zhongzhuang,50,2015-3-14,109,747.85,4.0257,5
69,70,zhongzhuang,50,2015-3-15,6,67.5,0.2199,6
70,71,zhongzhuang,50,2015-3-16,176,1510.55,4.4557,0
71,72,zhongzhuang,50,2015-3-18,6,56.5,0.2233,2
72,73,zhongzhuang,50,2015-3-19,52,578.72,3.1079,3
73,74,zhongzhuang,50,2015-3-20,67,400.56,3.596399,4
74,75,zhongzhuang,50,2015-3-21,189,1195.5,9.359999,5
75,76,zhongzhuang,50,2015-3-22,37,244.06,0.8953,6
76,77,zhongzhuang,50,2015-3-23,163,998.51,4.4571,0
77,78,zhongzhuang,50,2015-3-24,882,6931.0,35.098499,1
78,79,zhongzhuang,50,2015-3-25,457,2899.34,15.692898999999999,2
79,80,zhongzhuang,50,2015-3-26,632,2199.839,8.9517,3
80,81,zhongzhuang,50,2015-3-28,159,526.02,4.3764,5
81,82,zhongzhuang,50,2015-3-29,389,2053.66,10.675899000000001,6
82,83,zhongzhuang,50,2015-3-30,374,5630.15,20.477299,0
83,84,zhongzhuang,50,2015-4-1,236,3771.0,7.292000000000001,2
84,85,zhongzhuang,50,2015-4-2,214,2185.0,21.3679,3
85,86,zhongzhuang,50,2015-4-3,71,384.21,2.6458,4
86,87,zhongzhuang,50,2015-4-4,461,3717.1690000000003,24.04,5
87,88,zhongzhuang,50,2015-4-5,31,299.0,2.2113,6
88,89,zhongzhuang,50,2015-4-6,312,3837.0,10.4049,0
89,90,zhongzhuang,50,2015-4-7,637,5940.8,46.927296999999996,1
90,91,zhongzhuang,50,2015-4-8,325,3604.94,13.1701,2
91,92,zhongzhuang,50,2015-4-9,124,1238.5,5.281000000000001,3
92,93,zhongzhuang,50,2015-4-10,136,2007.35,10.5693,4
93,94,zhongzhuang,50,2015-4-11,213,1872.53,10.6787,5
94,95,zhongzhuang,50,2015-4-12,294,3043.5,16.708899,6
95,96,zhongzhuang,50,2015-4-13,228,1291.2,8.4435,0
96,97,zhongzhuang,50,2015-4-14,188,1638.45,11.194,1
97,98,zhongzhuang,50,2015-4-15,1842,11236.829,87.6319,2
98,99,zhongzhuang,50,2015-4-16,150,927.07,4.8576,3
99,100,zhongzhuang,50,2015-4-17,412,3792.0,16.2804,4
100,101,zhongzhuang,50,2015-4-18,463,5532.5,23.0379,5
101,102,zhongzhuang,50,2015-4-19,204,3320.3,14.5172,6
102,103,zhongzhuang,50,2015-4-20,142,1098.3,7.7334,0
103,104,zhongzhuang,50,2015-4-21,232,1942.14,8.5406,1
104,105,zhongzhuang,50,2015-4-22,26,114.01,1.1007,2
105,106,zhongzhuang,50,2015-4-23,322,2102.59,8.985799,3
