,pred_type,ID,ds,numbox,weight,bulk
0,zhongzhuang,50,,98,882.0,3.1752
1,zhongzhuang,50,2014-12-05,254,1525.5,7.7738
2,zhongzhuang,50,2014-12-09,106,685.3,3.6332
3,zhongzhuang,50,2014-12-10,1,4.6,0.023
4,zhongzhuang,50,2014-12-11,161,1094.88,2.7514
5,zhongzhuang,50,2014-12-12,60,433.84,1.7101
6,zhongzhuang,50,2014-12-13,161,1115.96,2.7203
7,zhongzhuang,50,2014-12-17,62,396.08,1.2736
8,zhongzhuang,50,2014-12-18,23,167.4,2.318
9,zhongzhuang,50,2014-12-20,59,332.37,3.126
10,zhongzhuang,50,2014-12-21,26,171.27,0.6071
11,zhongzhuang,50,2014-12-22,140,494.84,4.607
12,zhongzhuang,50,2014-12-23,175,1326.7,6.8036
13,zhongzhuang,50,2014-12-24,8,41.68,0.3907
14,zhongzhuang,50,2014-12-26,164,1121.6,7.7346
15,zhongzhuang,50,2014-12-27,220,434.0,5.572
16,zhongzhuang,50,2014-12-30,138,956.74,5.3102
17,zhongzhuang,50,2014-12-31,28,178.16,0.9828
18,zhongzhuang,50,2015-01-01,251,1864.73,6.2239
19,zhongzhuang,50,2015-01-02,72,579.0,2.6974
20,zhongzhuang,50,2015-01-05,88,726.1,3.7407
21,zhongzhuang,50,2015-01-06,2,8.0,0.0936
22,zhongzhuang,50,2015-01-07,125,631.82,3.235899
23,zhongzhuang,50,2015-01-08,81,938.45,3.4475
24,zhongzhuang,50,2015-01-09,128,1097.68,6.2313
25,zhongzhuang,50,2015-01-10,7,39.0,0.11
26,zhongzhuang,50,2015-01-13,30,181.39,1.6373
27,zhongzhuang,50,2015-01-14,852,6787.51,25.124698
28,zhongzhuang,50,2015-01-15,54,292.37,1.52
29,zhongzhuang,50,2015-01-16,183,1070.0,8.0112
30,zhongzhuang,50,2015-01-17,54,443.0,2.7767
31,zhongzhuang,50,2015-01-18,21,85.34,0.5639
32,zhongzhuang,50,2015-01-20,102,503.5,4.4795
33,zhongzhuang,50,2015-01-21,38,130.63,0.6447
34,zhongzhuang,50,2015-01-22,159,1178.2,4.707
35,zhongzhuang,50,2015-01-23,1,9.0,0.0197
36,zhongzhuang,50,2015-01-24,36,385.45,1.968399
37,zhongzhuang,50,2015-01-25,23,118.04,0.9904
38,zhongzhuang,50,2015-01-26,56,419.0,1.91
39,zhongzhuang,50,2015-01-27,252,1333.56,7.559598
40,zhongzhuang,50,2015-01-28,79,409.35,2.7187
41,zhongzhuang,50,2015-01-29,23,192.41,0.389
42,zhongzhuang,50,2015-01-30,48,560.35,2.4235
43,zhongzhuang,50,2015-02-02,331,1302.61,9.951599
44,zhongzhuang,50,2015-02-03,42,184.3,2.5403
45,zhongzhuang,50,2015-02-04,130,1103.65,4.6701
46,zhongzhuang,50,2015-02-05,171,1231.02,7.0783
47,zhongzhuang,50,2015-02-06,188,1198.5,10.3331
48,zhongzhuang,50,2015-02-07,22,287.65,0.4128
49,zhongzhuang,50,2015-02-08,29,128.0,0.507
50,zhongzhuang,50,2015-02-09,52,258.84,1.233
51,zhongzhuang,50,2015-02-10,51,2025.5,4.72
52,zhongzhuang,50,2015-02-11,52,574.0,1.7631
53,zhongzhuang,50,2015-02-12,10,79.92,0.617
54,zhongzhuang,50,2015-02-14,90,473.24,3.5274
55,zhongzhuang,50,2015-02-16,161,1901.1,10.942799
56,zhongzhuang,50,2015-02-27,83,225.27,2.763
57,zhongzhuang,50,2015-02-28,437,2777.95,19.495
58,zhongzhuang,50,2015-03-03,269,1904.04,7.3211
59,zhongzhuang,50,2015-03-04,1,2.0,0.0168
60,zhongzhuang,50,2015-03-05,176,1401.36,9.8672
61,zhongzhuang,50,2015-03-06,178,1114.65,5.370599
62,zhongzhuang,50,2015-03-07,121,894.46,6.747399
63,zhongzhuang,50,2015-03-08,27,380.94,0.6775
64,zhongzhuang,50,2015-03-09,155,1448.98,4.5656
65,zhongzhuang,50,2015-03-10,249,1682.91,9.3217
66,zhongzhuang,50,2015-03-11,16,73.0,0.4404
67,zhongzhuang,50,2015-03-12,220,1729.5,8.4966
68,zhongzhuang,50,2015-03-13,111,812.5,4.1954
69,zhongzhuang,50,2015-03-14,109,747.85,4.0257
70,zhongzhuang,50,2015-03-15,6,67.5,0.2199
71,zhongzhuang,50,2015-03-16,176,1510.55,4.4557
72,zhongzhuang,50,2015-03-18,6,56.5,0.2233
73,zhongzhuang,50,2015-03-19,52,578.72,3.1079
