,pred_type,id,name,ds,numbox,weight,bulk
0,zhongzhuang,50,,,98,882.0,3.1752
1,zhongzhuang,50,,2014-12,1786,10480.92,57.3374
2,zhongzhuang,50,,2015-01,2765,19983.88,93.224594
3,zhongzhuang,50,,2015-02,1849,13751.55,80.554498
4,zhongzhuang,50,,2015-03,5221,37484.099,182.634292
5,zhongzhuang,50,,2015-04,8774,87794.748,507.697293
6,zhongzhuang,50,,2015-05,15640,100708.049,715.797681
7,zhongzhuang,50,,2015-06,26736,258080.64,1422.64598
8,zhongzhuang,50,,2015-07,78777,732912.982,4249.215463
9,zhongzhuang,50,,2015-08,94778,819940.589,5013.771947
10,zhongzhuang,50,,2015-09,94019,856997.195,5014.450239
11,zhongzhuang,50,,2015-10,125329,1103879.322,6488.284853
12,zhongzhuang,50,,2015-11,112740,985064.763,5785.429104
13,zhongzhuang,50,,2015-12,142329,1223489.007,7481.213
14,zhongzhuang,50,,2016-01,203941,1539374.183,9074.073028
15,zhongzhuang,50,,2016-02,77466,625712.88,3613.698178
16,zhongzhuang,50,,2016-03,154704,1358339.074,8084.48386
17,zhongzhuang,50,,2016-04,218020,1796668.986,10106.678676
18,zhongzhuang,50,,2016-05,357865,3029318.356,17084.102435
19,zhongzhuang,50,,2016-06,244068,2093751.892,11224.341484
20,zhongzhuang,50,,2016-07,267310,2192203.952,11916.03405
21,zhongzhuang,50,,2016-08,252844,2100410.296,12052.306502
22,zhongzhuang,50,,2016-09,294291,2361768.655,13758.982541
23,zhongzhuang,50,,2016-10,470441,3678732.223,22401.636765
24,zhongzhuang,50,,2016-11,284440,2413076.36,13814.954414
25,zhongzhuang,50,,2016-12,374872,3089046.802,17407.181402
26,zhongzhuang,50,,2017-01,316562,2638661.792,14403.324236
27,zhongzhuang,50,,2017-02,281090,2439861.011,13078.616214
28,zhongzhuang,50,,2017-03,417635,3569697.534,21206.065791
29,zhongzhuang,50,,2017-04,505326,4246134.233,25369.585062
30,zhongzhuang,50,,2017-05,835636,7226748.224,39172.860554
31,zhongzhuang,50,,2017-06,404613,3346173.24,19069.850035
32,zhongzhuang,50,,2017-07,414313,3640043.78,20222.117056
33,zhongzhuang,50,,2017-08,561715,5481681.115,26750.567691
34,zhongzhuang,50,,2017-09,275064,2856599.125,13306.993903
35,zhongzhuang,51,,2014-12,7539,57602.664,344.062999
36,zhongzhuang,51,,2015-01,8485,62621.015,395.018094
37,zhongzhuang,51,,2015-02,6194,43194.504,245.937597
38,zhongzhuang,51,,2015-03,34757,332350.226,1725.356181
39,zhongzhuang,51,,2015-04,4877,52377.59,278.884092
40,zhongzhuang,51,,2015-05,5459,38238.739,290.540487
41,zhongzhuang,51,,2015-06,29264,281857.522,1428.790569
42,zhongzhuang,51,,2015-07,118452,1074926.317,5362.771519
43,zhongzhuang,51,,2015-08,117558,1036845.439,5553.59872
44,zhongzhuang,51,,2015-09,136979,1236333.55,6384.814508
